anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
Baseline,dense_faiss,Who did Carolina beat in the NFC championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who did Denver beat in the AFC championship?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Baseline,dense_faiss,Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback Cam Newton had one of his best seasons, throwing for 3,8",Cam Newton
Baseline,dense_faiss,Who did Denver beat in the 2015 AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Baseline,dense_faiss,Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who was the 2015 NFL MVP?,Cam Newton,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_faiss,Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who was the Super Bowl 50 MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H","Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Baseline,dense_faiss,Who was limited by Denver's defense?,Newton was limited by Denver's defense,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Andre Caldwell. A pair of carries by C. ,Ronnie Hillman
Baseline,dense_faiss,Who won the Super Bowl MVP?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr
Baseline,dense_faiss,Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_faiss,Who won the MVP for the Super Bowl?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_faiss,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_faiss,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Chuck Howley
Baseline,dense_faiss,Who was the main performer at this year's halftime show?,Coldplay,"In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halftime show. On December 3, the league confirmed that the show would be headlined by the British rock gr",Beyoncé
Baseline,dense_faiss,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H","Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V) appeared via video, while Peyton Manning (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Baseline,dense_faiss,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of Jim Nantz and Phil Simms c",CBS
Baseline,dense_faiss,Who headlined the halftime show for Super Bowl 50?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Baseline,dense_faiss,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Beyoncé and Bruno Mars
Baseline,dense_faiss,Who lead the Super Bowl 50 halftime performance?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
Baseline,dense_faiss,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_faiss,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_faiss,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_faiss,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_faiss,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_faiss,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Baseline,dense_faiss,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",Mercedes-Benz Superdome
Baseline,dense_faiss,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
Baseline,dense_faiss,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",New Orleans
Baseline,dense_faiss,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",Sun Life Stadium
Baseline,dense_faiss,What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
Baseline,dense_faiss,What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Levi's Stadium
Baseline,dense_faiss,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Florida legislature
Baseline,dense_faiss,Who voted on the venue for Super Bowl 50?,NFL owners,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with Roman numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50."
Baseline,dense_faiss,Where did the spring meetings of the NFL owners take place?,Boston,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
Baseline,dense_faiss,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",$1.2 billion
Baseline,dense_faiss,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Boston
Baseline,dense_faiss,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Rivera
Baseline,dense_faiss,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_faiss,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",Panthers
Baseline,dense_faiss,Who started at tight end for the Panthers?,Greg Olsen,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise hi",Kelvin Benjamin
Baseline,dense_faiss,Who is the quarterback for the Carolina Panthers?,Cam Newton,"On Carolina's next possession fullback Mike Tolbert lost a fumble while being tackled by safety Darian Stewart, which linebacker Danny Trevathan recovered on the Broncos 40-yard line. However, the Pan",Manning
Baseline,dense_faiss,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_faiss,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_faiss,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kony Ealy
Baseline,dense_faiss,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Luke Kuechly
Baseline,dense_faiss,Who is the head coach of the Broncos?,Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_faiss,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Brock Osweiler
Baseline,dense_faiss,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Indianapolis Colts
Baseline,dense_faiss,Who did the Broncos play in the last week of the regular season?,San Diego Chargers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Baseline,dense_faiss,Who is Denver's defensive coordinator?,Wade Phillips,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",DeMarcus Ware
Baseline,dense_faiss,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_faiss,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Gary Kubiak
Baseline,dense_faiss,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Peyton Manning
Baseline,dense_faiss,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_faiss,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",DeMarcus Ware
Baseline,dense_faiss,Who registered the most receptions on the Broncos?,Demaryius Thomas,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_faiss,Who had the most rushing yards on the Broncos?,C. J. Anderson,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_faiss,Who had the most receptions out of all players for the year?,Demaryius Thomas,"Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six ",Demaryius Thomas
Baseline,dense_faiss,Who led the Broncos with 105 receptions?,Demaryius Thomas,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Von Miller
Baseline,dense_faiss,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_faiss,Who was first on the team in total tackles?,Brandon Marshall,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_faiss,Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Von Miller
Baseline,dense_faiss,Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who did Carolina beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Baseline,dense_faiss,Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Baseline,dense_faiss,Who did the Panthers beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Baseline,dense_faiss,Who did the Panthers play in their division championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Baseline,dense_faiss,Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Baseline,dense_faiss,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",The Broncos
Baseline,dense_faiss,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",The Broncos
Baseline,dense_faiss,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th","Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown"
Baseline,dense_faiss,Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Baseline,dense_faiss,Who did the Broncos defeat in the AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Baseline,dense_faiss,Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Baseline,dense_faiss,Who did the Broncos beat tp become the AFC champions?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Baseline,dense_faiss,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despite this, ",Thomas Davis
Baseline,dense_faiss,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_faiss,Who did John Elway play for in Super Bowl XXXIII?,Broncos,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Broncos
Baseline,dense_faiss,Who is the General Manager for the Broncos?,John Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_faiss,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_faiss,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Peyton Manning
Baseline,dense_faiss,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_faiss,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Peyton Manning
Baseline,dense_faiss,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_faiss,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Von Miller
Baseline,dense_faiss,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Manning
Baseline,dense_faiss,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Newton
Baseline,dense_faiss,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Von Miller
Baseline,dense_faiss,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_faiss,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_faiss,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise hi",DeAngelo Williams
Baseline,dense_faiss,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Justin Tucker
Baseline,dense_faiss,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Bermuda 419
Baseline,dense_faiss,Who is the field director of the NFL?,Ed Mangan,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Ed Mangan
Baseline,dense_faiss,Who was designated as the home team in the Super Bowl?,Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Baseline,dense_faiss,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl succes",Pittsburgh Steelers
Baseline,dense_faiss,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl succes",Super Bowl XXXIII
