anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,generated_answer
Faker,dense_faiss,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With Nicole Page having been a linebacker with the Chicago Bears in Super Bowl XX, and Sean Wheeler replacing Warren Waters at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be",Warren Waters
Faker,dense_faiss,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Stephanie Cook (who h",Andrea Owens
Faker,dense_faiss,Who registered the most receptions on the Broncos?,Demaryius Thomas,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Phillip Thomas and Victor Martin each had",Michelle Garrison
Faker,dense_faiss,Who had the most rushing yards on the Broncos?,C. J. Anderson,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Isabella Thompson finished th",Isabella Thompson
Faker,dense_faiss,Who had the most receptions out of all players for the year?,Demaryius Thomas,Jose Lane finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Bradley Lopez was his top receiver with six receptions for 83 yards. Danielle Barrett was the game's leadi,Bradley Lopez
Faker,dense_faiss,Who led the Broncos with 105 receptions?,Demaryius Thomas,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Andrew Williams (who ",Brittany Garcia
Faker,dense_faiss,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Joshua Chase (who had",Lauren Mendoza
Faker,dense_faiss,Who was first on the team in total tackles?,Brandon Marshall,Jose Lane finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. Bradley Lopez was his top receiver with six receptions for 83 yards. Danielle Barrett was the game's leadi,Anthony Beck
Faker,dense_faiss,Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,"After each team punted, Panthers quarterback Thomas Silva appeared to complete a 24-yard pass Willie Dixon, but the call was ruled an incompletion and upheld after a replay challenge. CBS analyst and ",Marissa Spence
Faker,dense_faiss,Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who did Carolina beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Faker,dense_faiss,Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Faker,dense_faiss,Who did the Panthers beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Faker,dense_faiss,Who did the Panthers play in their division championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Faker,dense_faiss,Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Faker,dense_faiss,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Andrew Mitchell was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Champion",The Broncos
Faker,dense_faiss,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Andrew Mitchell was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Champion",The Broncos
Faker,dense_faiss,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Faker,dense_faiss,Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Faker,dense_faiss,Who did the Broncos defeat in the AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Faker,dense_faiss,Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Faker,dense_faiss,Who did the Broncos beat tp become the AFC champions?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Brian Hicks was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship",New England Patriots
Faker,dense_faiss,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when Dr. Lisa Conley, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despite thi",Dr. Lisa Conley
Faker,dense_faiss,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,Jennifer Harrison became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was h,Valerie Rivera
Faker,dense_faiss,Who did John Elway play for in Super Bowl XXXIII?,Broncos,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacqueline Hess (MVP of Super Bowls I and II) and Jo",Broncos
Faker,dense_faiss,Who is the General Manager for the Broncos?,John Elway,"With Jody Gonzalez having been a linebacker with the Chicago Bears in Super Bowl XX, and Mrs. Susan Williams replacing Richard Costa at the end of the Broncos' defeats in Super Bowls XXI and XXIV, thi",Susan Williams
Faker,dense_faiss,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,Kimberly Jordan became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was hel,Benjamin Johnson
Faker,dense_faiss,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,Jennifer Harrison became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was h,Jennifer Harrison
Faker,dense_faiss,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,Jennifer Harrison became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was h,Jennifer Harrison
Faker,dense_faiss,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,Jennifer Harrison became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was h,Jennifer Harrison
Faker,dense_faiss,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,Jennifer Harrison became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was h,Valerie Rivera
Faker,dense_faiss,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Felicia Willis was the #1 selection of the 1998 NFL draft, while Newton was picked firs",Valerie Taylor
Faker,dense_faiss,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Daniel Lee was the #1 selection of the 1998 NFL draft, while Newton was picked first in",Daniel Lee
Faker,dense_faiss,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Felicia Willis was the #1 selection of the 1998 NFL draft, while Newton was picked firs",Newton
Faker,dense_faiss,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Felicia Willis was the #1 selection of the 1998 NFL draft, while Newton was picked firs",Valerie Taylor
Faker,dense_faiss,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"With Miss Kayla Francis having been a linebacker with the Chicago Bears in Super Bowl XX, and Kim Lopez replacing Catherine Lopez at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Miss Kayla Francis
Faker,dense_faiss,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"With Miss Kayla Francis having been a linebacker with the Chicago Bears in Super Bowl XX, and Kim Lopez replacing Catherine Lopez at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Catherine Lopez
Faker,dense_faiss,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back Nancy Perez and losing top wide receiver Erika Lopez to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, bec",Nancy Perez
Faker,dense_faiss,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether Richard Macdonald's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due t",Antonio Smith
Faker,dense_faiss,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether Richard Macdonald's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due t",Bermuda 419
Faker,dense_faiss,Who is the field director of the NFL?,Ed Mangan,"In early 2012, NFL Commissioner Cynthia Fields stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Cynthia Fields
Faker,dense_faiss,Who was designated as the home team in the Super Bowl?,Broncos,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Denver Broncos
Faker,dense_faiss,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Christine Marshall stated, ""We've had Supe",Pittsburgh Steelers
Faker,dense_faiss,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Laurie Torres stated, ""We've had Super Bow",Super Bowl XXXIII
Faker,dense_faiss,What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,Santa Clara Marriott,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose Marriott
Faker,dense_faiss,Where did the Panthers practice at for Super Bowl 50?,San Jose State practice facility,The Panthers used the San Jose State practice facility and stayed at the San Jose Marriott. The Broncos practiced at Stanford University and stayed at the Santa Clara Marriott.,San Jose State
