anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Baseline,dense_numpy,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_numpy,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_numpy,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_numpy,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_numpy,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner Roger Goodell stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Roger Goodell
Baseline,dense_numpy,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",Mercedes-Benz Superdome
Baseline,dense_numpy,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
Baseline,dense_numpy,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",New Orleans
Baseline,dense_numpy,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.",Sun Life Stadium
Baseline,dense_numpy,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Rivera
Baseline,dense_numpy,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_numpy,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",Panthers
Baseline,dense_numpy,Who started at tight end for the Panthers?,Greg Olsen,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise hi",Kelvin Benjamin
Baseline,dense_numpy,Who is the quarterback for the Carolina Panthers?,Cam Newton,"On Carolina's next possession fullback Mike Tolbert lost a fumble while being tackled by safety Darian Stewart, which linebacker Danny Trevathan recovered on the Broncos 40-yard line. However, the Pan",Manning
Baseline,dense_numpy,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_numpy,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_numpy,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kony Ealy
Baseline,dense_numpy,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Luke Kuechly
Baseline,dense_numpy,Who is the head coach of the Broncos?,Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_numpy,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Brock Osweiler
Baseline,dense_numpy,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Indianapolis Colts
Baseline,dense_numpy,Who is Denver's defensive coordinator?,Wade Phillips,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",DeMarcus Ware
Baseline,dense_numpy,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_numpy,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Gary Kubiak
Baseline,dense_numpy,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Peyton Manning
Baseline,dense_numpy,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_numpy,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",DeMarcus Ware
Baseline,dense_numpy,Who registered the most receptions on the Broncos?,Demaryius Thomas,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_numpy,Who had the most rushing yards on the Broncos?,C. J. Anderson,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_numpy,Who had the most receptions out of all players for the year?,Demaryius Thomas,"Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six ",Demaryius Thomas
Baseline,dense_numpy,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½",Brandon Marshall
Baseline,dense_numpy,Who was first on the team in total tackles?,Brandon Marshall,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Kawann S",Kawann Short
Baseline,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",The Broncos
Baseline,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship ",The Broncos
Baseline,dense_numpy,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th","Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown"
Baseline,dense_numpy,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when Thomas Davis, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despite this, ",Thomas Davis
Baseline,dense_numpy,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_numpy,Who did John Elway play for in Super Bowl XXXIII?,Broncos,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Broncos
Baseline,dense_numpy,Who is the General Manager for the Broncos?,John Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Kubiak
Baseline,dense_numpy,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_numpy,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Peyton Manning
Baseline,dense_numpy,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_numpy,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Peyton Manning
Baseline,dense_numpy,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,Peyton Manning became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,John Elway
Baseline,dense_numpy,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Von Miller
Baseline,dense_numpy,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Manning
Baseline,dense_numpy,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Newton
Baseline,dense_numpy,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Manning was the #1 selection of the 1998 NFL draft, while Newton was picked first in 20",Von Miller
Baseline,dense_numpy,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_numpy,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bo",Elway
Baseline,dense_numpy,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back DeAngelo Williams and losing top wide receiver Kelvin Benjamin to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise hi",DeAngelo Williams
Baseline,dense_numpy,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Justin Tucker
Baseline,dense_numpy,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Bermuda 419
Baseline,dense_numpy,Who is the field director of the NFL?,Ed Mangan,"Concerns were raised over whether Levi's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various iss",Ed Mangan
Baseline,dense_numpy,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl succes",Pittsburgh Steelers
Baseline,dense_numpy,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Elway stated, ""We've had Super Bowl succes",Super Bowl XXXIII
Baseline,dense_numpy,"Who, with Jim Nantz, was a member of the game's lead broadcast team?",Phil Simms,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Kevin Harlan
Baseline,dense_numpy,Who shared sideline duties with Evan Washburn?,Tracy Wolfson,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",James Lofton and Mark Malone
Baseline,dense_numpy,Where was Tracy Wolfson announcing from during the Super Bowl 50 game?,sidelines,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",on-field
Baseline,dense_numpy,Where was Evan Washburn located while announcing during the game?,sidelines,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",unanswerable
Baseline,dense_numpy,Who were the announcers of Super Bowl 50?,Jim Nantz and Phil Simms,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V)
Baseline,dense_numpy,Who were the Super Bowl 50 sideline announcers?,Tracy Wolfson and Evan Washburn,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr (MVP of Super Bowls I and II) and Chuck Howley (MVP of Super Bowl V)
Baseline,dense_numpy,Who did play-by-play on Westwood One?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Kevin Harlan
Baseline,dense_numpy,Who handled pre-game coverage on Westwood One?,Jim Gray,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Jim Gray
Baseline,dense_numpy,"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Boomer Esiason
Baseline,dense_numpy,Who shared sideline reporting duties with Mark Malone?,James Lofton,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",James Lofton
Baseline,dense_numpy,Who will carry the game throughout all of North America?,Westwood One,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Westwood One
Baseline,dense_numpy,Who is the play-by-play announcer for the game?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Kevin Harlan
Baseline,dense_numpy,Who was the announcer for Westwood One's Super Bowl 50 coverage?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Kevin Harlan
Baseline,dense_numpy,Who were the Westwood one color analysts?,Boomer Esiason and Dan Fouts,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",Boomer Esiason and Dan Fouts
Baseline,dense_numpy,Who were the Westwood One sideline announcers?,James Lofton and Mark Malone,"Westwood One will carry the game throughout North America, with Kevin Harlan as play-by-play announcer, Boomer Esiason and Dan Fouts as color analysts, and James Lofton and Mark Malone as sideline rep",James Lofton and Mark Malone
Baseline,dense_numpy,Who handled play-by-play for the Denver radio market?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by",Dave Logan
Baseline,dense_numpy,Who did play-by-play for the WBT broadcast?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by",Mick Mixon
Baseline,dense_numpy,Who handled the play-by-play for the Denver radio stations?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by",Dave Logan
Baseline,dense_numpy,Who handled the color commentary for Denver's radio stations?,Ed McCaffrey,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by",Ed McCaffrey
Baseline,dense_numpy,Who handled the play-by-play for WBT?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Dave Logan on play-by",Mick Mixon
Baseline,dense_numpy,Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?,Darren Fletcher,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with Greg Brady, Darren Fletcher and Rocky Boiman on comme",Darren Fletcher
Baseline,dense_numpy,"British commentators include, Darren Fletcher, Rocky Boiman and who else?",Greg Brady,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with Greg Brady, Darren Fletcher and Rocky Boiman on comme",Greg Brady
Baseline,dense_numpy,Who was the Most Valuable Player of Super Bowl II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr
Baseline,dense_numpy,Who was the Most Valuable Player of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who is the present quarterback of the Broncos?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach John Fox (who had won",Peyton Manning
Baseline,dense_numpy,Who was the MVP of Super Bowl I and II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Bart Starr
Baseline,dense_numpy,Who was the MVP of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Bart Starr (MVP of Super Bowls I and II) and Chuck H",Peyton Manning
Baseline,dense_numpy,Who sang the national anthem?,Lady Gaga,"Six-time Grammy winner and Academy Award nominee Lady Gaga performed the national anthem, while Academy Award winner Marlee Matlin provided American Sign Language (ASL) translation.",Lady Gaga
Baseline,dense_numpy,Who was at the receiving end of a 22-yard pass from Peyton Manning?,Andre Caldwell,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Ted Ginn Jr. on the Denver 35-yard line on their second offensive play. But the Br,Emmanuel Sanders
Baseline,dense_numpy,Who lost 3 yards on a tackle by Shaq Thompson?,Ronnie Hillman,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Andre Caldwell. A pair of carries by C. ,Ronnie Hillman
Baseline,dense_numpy,Who kicked a field goal for Denver?,Brandon McManus,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away fro",Bennie Fowler
Baseline,dense_numpy,Who ran the ball twice for 20 yards on this drive?,C. J. Anderson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Miller stripped the ball away fro",Ward
Baseline,dense_numpy,Who tackled Ronnie Hillman for a loss of yardage?,Shaq Thompson,"On Carolina's next possession fullback Mike Tolbert lost a fumble while being tackled by safety Darian Stewart, which linebacker Danny Trevathan recovered on the Broncos 40-yard line. However, the Pan",Darian Stewart
Baseline,dense_numpy,Who kicked the field goal for Denver on the first drive of Super Bowl 50?,Brandon McManus,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while Jonathan Stewart finished the",McManus
Baseline,dense_numpy,Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Owen Daniels,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Ted Ginn Jr. on the Denver 35-yard line on their second offensive play. But the Br,Corey Brown
Baseline,dense_numpy,Who scored the first points for Denver?,Brandon McManus,Denver took the opening kickoff and started out strong with Peyton Manning completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Andre Caldwell. A pair of carries by C. ,Brandon McManus
Baseline,dense_numpy,Whose pass to Jerricho Cotchery was ruled incomplete?,Cam Newton,"The two most prominent Norman families to arrive in the Mediterranean were descendants of Tancred of Hauteville and the Drengot family, of whom Rainulf Drengot received the county of Aversa, the first",Drengot
Baseline,dense_numpy,Who stripped the ball from Cam Newton while sacking him on this drive?,Von Miller,"On Carolina's next possession fullback Mike Tolbert lost a fumble while being tackled by safety Darian Stewart, which linebacker Danny Trevathan recovered on the Broncos 40-yard line. However, the Pan",DeMarcus Ware
