anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Placeholder,dense_numpy,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends [PERSON] and [PERSON] each had 5½ sacks. ",Bill Belichick
Placeholder,dense_numpy,Who registered the most receptions on the Broncos?,Demaryius Thomas,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends [PERSON] and [PERSON] each had 5½ sacks. ",[PERSON]
Placeholder,dense_numpy,Who had the most rushing yards on the Broncos?,C. J. Anderson,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Placeholder,dense_numpy,Who had the most receptions out of all players for the year?,Demaryius Thomas,"[PERSON] finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, [PERSON] threw for 1,967 yards, 10 touchdowns and six",Veteran receiver [PERSON]
Placeholder,dense_numpy,Who led the Broncos with 105 receptions?,Demaryius Thomas,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Placeholder,dense_numpy,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach [PERSON] (who had won",Osweiler
Placeholder,dense_numpy,Who was first on the team in total tackles?,Brandon Marshall,[PERSON] finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. [PERSON] was his top receiver with six receptions for 83 yards. [PERSON] was the game's leading rusher with,[PERSON]
Placeholder,dense_numpy,Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Placeholder,dense_numpy,Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who did Carolina beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Placeholder,dense_numpy,Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
Placeholder,dense_numpy,Who did the Panthers beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Placeholder,dense_numpy,Who did the Panthers play in their division championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
Placeholder,dense_numpy,Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Placeholder,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",The Broncos
Placeholder,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback [PERSON] was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Ga",The Broncos
Placeholder,dense_numpy,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",[PERSON]
Placeholder,dense_numpy,Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Placeholder,dense_numpy,Who did the Broncos defeat in the AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Placeholder,dense_numpy,Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
Placeholder,dense_numpy,Who did the Broncos beat tp become the AFC champions?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
Placeholder,dense_numpy,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when [PERSON], an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despite this, he i",[PERSON]
Placeholder,dense_numpy,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,Who did John Elway play for in Super Bowl XXXIII?,Broncos,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. [PERSON] (MVP of Super Bowls I and II) and [PERSON] ",Broncos
Placeholder,dense_numpy,Who is the General Manager for the Broncos?,John Elway,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S","[PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bowl in which both head coaches played in the game themselves."
Placeholder,dense_numpy,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,[PERSON] became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by [P,[PERSON]
Placeholder,dense_numpy,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. [PERSON] was the #1 selection of the 1998 NFL draft, while Newton was picked first in 2",[PERSON]
Placeholder,dense_numpy,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. [PERSON] was the #1 selection of the 1998 NFL draft, while Newton was picked first in 2",[PERSON]
Placeholder,dense_numpy,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. [PERSON] was the #1 selection of the 1998 NFL draft, while Newton was picked first in 2",Newton
Placeholder,dense_numpy,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. [PERSON] was the #1 selection of the 1998 NFL draft, while Newton was picked first in 2",[PERSON]
Placeholder,dense_numpy,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"With [PERSON] having been a linebacker with the Chicago Bears in Super Bowl XX, and [PERSON] replacing [PERSON] at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first S",[PERSON]
Placeholder,dense_numpy,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Levi's Stadium
Placeholder,dense_numpy,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back [PERSON] and losing top wide receiver [PERSON] to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming ",Bill Belichick
Placeholder,dense_numpy,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether [PERSON]'s Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various",Baltimore Ravens kicker [PERSON]
Placeholder,dense_numpy,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether [PERSON]'s Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various",Bermuda 419
Placeholder,dense_numpy,Who is the field director of the NFL?,Ed Mangan,"Concerns were raised over whether [PERSON]'s Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various",[PERSON]
