anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
Faker,dense_numpy,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Alexis Kelly (MVP of Super Bowls I and II) and Dusti","Alexis Kelly (MVP of Super Bowls I and II) and Dustin Wright (MVP of Super Bowl V) appeared via video, while Sandra Cole (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Faker,dense_numpy,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
Faker,dense_numpy,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jennifer Ayala (MVP of Super Bowls I and II) and Mar",Bryan Sanders
Faker,dense_numpy,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of Kathleen Hill and Teresa L",CBS
Faker,dense_numpy,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner Jason Hanson stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Jason Hanson
Faker,dense_numpy,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner Jason Hanson stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Jason Hanson
Faker,dense_numpy,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner Jason Hanson stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Jason Hanson
Faker,dense_numpy,Who if the commissioner of the NFL?,Roger Goodell,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner Jason Hanson stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",Jason Hanson
Faker,dense_numpy,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Jacob Hayes's Stadium.",Mercedes-Benz Superdome
Faker,dense_numpy,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
Faker,dense_numpy,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Jenna Nguyen's Stadium.",New Orleans
Faker,dense_numpy,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Jacob Hayes's Stadium.",Sun Life Stadium
Faker,dense_numpy,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Alexis Kelly (MVP of Super Bowls I and II) and Dusti","Alexis Kelly (MVP of Super Bowls I and II) and Dustin Wright (MVP of Super Bowl V) appeared via video, while Sandra Cole (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
Faker,dense_numpy,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback James Powell was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championshi",The Panthers
Faker,dense_numpy,Who started at tight end for the Panthers?,Greg Olsen,The Panthers seemed primed to score on their opening drive of the second half when Newton completed a 45-yard pass to Michelle Weaver MD on the Denver 35-yard line on their second offensive play. But ,T. J. Ward
Faker,dense_numpy,Who is the quarterback for the Carolina Panthers?,Cam Newton,"On Carolina's next possession fullback Jean Carr lost a fumble while being tackled by safety Thomas Hutchinson, which linebacker Jason Fox recovered on the Broncos 40-yard line. However, the Panthers ",Ryan Willis
Faker,dense_numpy,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Amanda S",Don Bradford
Faker,dense_numpy,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Amanda S",Amanda Stanley
Faker,dense_numpy,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Amanda S",Keith Burnett
Faker,dense_numpy,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle Sonya Bo",Sonya Bond
Faker,dense_numpy,Who is the head coach of the Broncos?,Gary Kubiak,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Gail Gutierrez (who h",Desiree Wilson
Faker,dense_numpy,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Stephen Shepherd (who",Indianapolis Colts
Faker,dense_numpy,Who is Denver's defensive coordinator?,Wade Phillips,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Ebony Mason (who had ",Justin Key II
Faker,dense_numpy,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Ebony Mason (who had ",George Curtis
Faker,dense_numpy,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Gail Gutierrez (who h",Angel Brown
Faker,dense_numpy,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Gail Gutierrez (who h",Eugene Smith
Faker,dense_numpy,Who registered the most receptions on the Broncos?,Demaryius Thomas,"Ryan Leach finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Stephen Hester threw for 1,967 yards, 10 touchdowns",Dana Estrada
Faker,dense_numpy,Who had the most rushing yards on the Broncos?,C. J. Anderson,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Faker,dense_numpy,Who had the most receptions out of all players for the year?,Demaryius Thomas,"Ryan Leach finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Stephen Hester threw for 1,967 yards, 10 touchdowns",Dana Estrada
Faker,dense_numpy,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Gail Gutierrez (who h",Angel Brown
Faker,dense_numpy,Who was first on the team in total tackles?,Brandon Marshall,Ronnie Taylor finished the game 13 of 23 for 141 yards with one interception and zero touchdowns. George Myers was his top receiver with six receptions for 83 yards. Renee Shaw was the game's leading ,Lisa Campbell
Faker,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Nicole Gibson was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championsh",The Broncos
Faker,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback Nicole Gibson was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championsh",The Broncos
Faker,dense_numpy,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
Faker,dense_numpy,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when Mrs. Heather Guerrero, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despi",Mrs. Heather Guerrero
Faker,dense_numpy,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,Brooke Steele became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held ,Steve Fisher
Faker,dense_numpy,Who did John Elway play for in Super Bowl XXXIII?,Broncos,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Broncos
Faker,dense_numpy,Who is the General Manager for the Broncos?,John Elway,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,Brandon Brewer became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held,Angela Turner
Faker,dense_numpy,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,Brooke Steele became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held ,Brooke Steele
Faker,dense_numpy,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,Brooke Steele became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held ,Brooke Steele
Faker,dense_numpy,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,Brooke Steele became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held ,Brooke Steele
Faker,dense_numpy,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,Brooke Steele became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held ,Steve Fisher
Faker,dense_numpy,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Paula Morgan was the #1 selection of the 1998 NFL draft, while Newton was picked first ",Nichole Martinez
Faker,dense_numpy,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. John Rivera was the #1 selection of the 1998 NFL draft, while Newton was picked first i",John Rivera
Faker,dense_numpy,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. John Rivera was the #1 selection of the 1998 NFL draft, while Newton was picked first i",Newton
Faker,dense_numpy,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. Paula Morgan was the #1 selection of the 1998 NFL draft, while Newton was picked first ",Nichole Martinez
Faker,dense_numpy,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"With Stephen Nguyen having been a linebacker with the Chicago Bears in Super Bowl XX, and Christopher Adams replacing Jerry Perez at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jerry Perez
Faker,dense_numpy,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Levi's Stadium
Faker,dense_numpy,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back Emily Brown and losing top wide receiver James Navarro to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, b",Bill Belichick
Faker,dense_numpy,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether Brandon Lewis's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to va",Baltimore Ravens kicker Nicole Charles
Faker,dense_numpy,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether Brandon Lewis's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to va",Bermuda 419
Faker,dense_numpy,Who is the field director of the NFL?,Ed Mangan,"Concerns were raised over whether Nathan Watson's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to va",Kevin Jackson
Faker,dense_numpy,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Mark Richards stated, ""We've had Super Bow",Pittsburgh Steelers
Faker,dense_numpy,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. Mark Richards stated, ""We've had Super Bow",Super Bowl XXXIII
Faker,dense_numpy,"Who, with Jim Nantz, was a member of the game's lead broadcast team?",Phil Simms,"With Jim Summers having been a linebacker with the Chicago Bears in Super Bowl XX, and Jeremy Delacruz replacing Seth Robinson MD at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this w",Jeremy Delacruz
Faker,dense_numpy,Who shared sideline duties with Evan Washburn?,Tracy Wolfson,"Westwood One will carry the game throughout North America, with Elizabeth Guerrero as play-by-play announcer, Tyler Hoffman and Michelle Harmon as color analysts, and Christopher Wade and Erika Davis ",Christopher Wade and Erika Davis
Faker,dense_numpy,Where was Tracy Wolfson announcing from during the Super Bowl 50 game?,sidelines,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Cassandra Lewis (MVP of Super Bowls I and II) and Ma",on-field
Faker,dense_numpy,Where was Evan Washburn located while announcing during the game?,sidelines,"Westwood One will carry the game throughout North America, with Elizabeth Guerrero as play-by-play announcer, Tyler Hoffman and Michelle Harmon as color analysts, and Christopher Wade and Erika Davis ",Westwood One
Faker,dense_numpy,Who were the announcers of Super Bowl 50?,Jim Nantz and Phil Simms,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jennifer Ayala (MVP of Super Bowls I and II) and Mar",Jennifer Ayala (MVP of Super Bowls I and II) and Mary Martinez (MVP of Super Bowl V)
Faker,dense_numpy,Who were the Super Bowl 50 sideline announcers?,Tracy Wolfson and Evan Washburn,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jennifer Ayala (MVP of Super Bowls I and II) and Mar",Jennifer Ayala (MVP of Super Bowls I and II) and Mary Martinez (MVP of Super Bowl V)
Faker,dense_numpy,Who did play-by-play on Westwood One?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Ricardo Johnson as play-by-play announcer, Theresa Young and Michael Ramos as color analysts, and Richard Clark and Juan Mcclure as side",Ricardo Johnson
Faker,dense_numpy,Who handled pre-game coverage on Westwood One?,Jim Gray,"Westwood One will carry the game throughout North America, with Ricardo Johnson as play-by-play announcer, Theresa Young and Michael Ramos as color analysts, and Richard Clark and Juan Mcclure as side",Rebecca Armstrong
Faker,dense_numpy,"Along with Dan Fouts, who served as a color analyst for the radio broadcast?",Boomer Esiason,"Westwood One will carry the game throughout North America, with Frances Shaw as play-by-play announcer, Janet Russo and Richard Thomas as color analysts, and Kevin Clark and Jerry Stewart as sideline ",Janet Russo
Faker,dense_numpy,Who shared sideline reporting duties with Mark Malone?,James Lofton,"Westwood One will carry the game throughout North America, with Emily Skinner as play-by-play announcer, Kathy Daniel and Jake Sanders as color analysts, and Brittany Barnes and Robin Huerta as sideli",Brittany Barnes and Robin Huerta
Faker,dense_numpy,Who will carry the game throughout all of North America?,Westwood One,"Westwood One will carry the game throughout North America, with Ricardo Johnson as play-by-play announcer, Theresa Young and Michael Ramos as color analysts, and Richard Clark and Juan Mcclure as side",Westwood One
Faker,dense_numpy,Who is the play-by-play announcer for the game?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Kimberly Brown as play-by-play announcer, Lauren Martinez and Douglas Rivera as color analysts, and Amy Morton and Anna Carson as sideli",Kimberly Brown
Faker,dense_numpy,Who was the announcer for Westwood One's Super Bowl 50 coverage?,Kevin Harlan,"Westwood One will carry the game throughout North America, with Frances Shaw as play-by-play announcer, Janet Russo and Richard Thomas as color analysts, and Kevin Clark and Jerry Stewart as sideline ",Frances Shaw
Faker,dense_numpy,Who were the Westwood one color analysts?,Boomer Esiason and Dan Fouts,"Westwood One will carry the game throughout North America, with Emily Skinner as play-by-play announcer, Kathy Daniel and Jake Sanders as color analysts, and Brittany Barnes and Robin Huerta as sideli",Kathy Daniel and Jake Sanders
Faker,dense_numpy,Who were the Westwood One sideline announcers?,James Lofton and Mark Malone,"Westwood One will carry the game throughout North America, with Ricardo Johnson as play-by-play announcer, Theresa Young and Michael Ramos as color analysts, and Richard Clark and Juan Mcclure as side",Richard Clark and Juan Mcclure
Faker,dense_numpy,Who handled play-by-play for the Denver radio market?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Kelly Hines on play-b",Kelly Hines
Faker,dense_numpy,Who did play-by-play for the WBT broadcast?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Becky Murphy on play-",Heidi Ward
Faker,dense_numpy,Who handled the play-by-play for the Denver radio stations?,Dave Logan,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Kelly Hines on play-b",Kelly Hines
Faker,dense_numpy,Who handled the color commentary for Denver's radio stations?,Ed McCaffrey,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Angela Miles on play-",Elizabeth Dunn
Faker,dense_numpy,Who handled the play-by-play for WBT?,Mick Mixon,"The flagship stations of each station in the markets of each team will carry their local play-by-play calls. In Denver, KOA (850 AM) and KRFX (103.5 FM) will carry the game, with Angela Miles on play-",Lisa Berry
Faker,dense_numpy,Who makes up the BBC commentary team with Greg Brady and Rocky Boiman?,Darren Fletcher,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with Craig Campbell, Jenna Jackson and Benjamin Fisher on ",Craig Campbell
Faker,dense_numpy,"British commentators include, Darren Fletcher, Rocky Boiman and who else?",Greg Brady,"In the United Kingdom, BBC Radio 5 Live and 5 Live Sports Extra will carry the contest. The BBC will carry its own British English broadcast, with Craig Campbell, Jenna Jackson and Benjamin Fisher on ",Jenna Jackson
Faker,dense_numpy,Who was the Most Valuable Player of Super Bowl II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A","Jacob Williamson (MVP of Super Bowls I and II) and Amber Gibson (MVP of Super Bowl V) appeared via video, while Mitchell Walker (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game. No plans were announced regarding the recognition of Paul Morgan, co-MVP of Super Bowl XII, who died in 2001."
Faker,dense_numpy,Who was the Most Valuable Player of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Mitchell Walker
Faker,dense_numpy,Who is the present quarterback of the Broncos?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach Gail Gutierrez (who h",Desiree Wilson
Faker,dense_numpy,Who was the MVP of Super Bowl I and II?,Bart Starr,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Jacob Williamson
Faker,dense_numpy,Who was the MVP of Super Bowl XLI?,Peyton Manning,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. Jacob Williamson (MVP of Super Bowls I and II) and A",Mitchell Walker
Faker,dense_numpy,Who sang the national anthem?,Lady Gaga,"Six-time Grammy winner and Academy Award nominee Amanda Johnson performed the national anthem, while Academy Award winner Elizabeth Jones provided American Sign Language (ASL) translation.",Amanda Johnson
Faker,dense_numpy,Who was at the receiving end of a 22-yard pass from Peyton Manning?,Andre Caldwell,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while David Reed finished the drive",Gina Hopkins
Faker,dense_numpy,Who lost 3 yards on a tackle by Shaq Thompson?,Ronnie Hillman,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Alejandro Barnett stripped the ba",Denver
Faker,dense_numpy,Who kicked a field goal for Denver?,Brandon McManus,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Alejandro Barnett stripped the ba",Richard Guzman
Faker,dense_numpy,Who ran the ball twice for 20 yards on this drive?,C. J. Anderson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Richard Garcia stripped the ball ",Jason Hall
Faker,dense_numpy,Who tackled Ronnie Hillman for a loss of yardage?,Shaq Thompson,"With 4:51 left in regulation, Carolina got the ball on their own 24-yard line with a chance to mount a game-winning drive, and soon faced 3rd-and-9. On the next play, Lisa Chapman stripped the ball aw",Lisa Mendez
Faker,dense_numpy,Who kicked the field goal for Denver on the first drive of Super Bowl 50?,Brandon McManus,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while David Reed finished the drive",Eric Lambert
Faker,dense_numpy,Who did Peyton Manning complete an 18 yard pass to on the opening drive?,Owen Daniels,"After a punt from both teams, Carolina got on track with a 9-play, 73-yard scoring drive. Newton completed 4 of 4 passes for 51 yards and rushed twice for 25 yards, while David Reed finished the drive",Broncos receiver Gina Hopkins
Faker,dense_numpy,Who scored the first points for Denver?,Brandon McManus,Denver took the opening kickoff and started out strong with Patricia Garcia completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver Mrs. Kelly Pope DDS. A pair of carries ,Patricia Garcia
