anonymization_strategy,retrieval_method,question,ground_truth,retrieved_context_snippet,model_answer
ContextAware,dense_numpy,Who was the Most Valuable Player of Super Bowl 50?,Von Miller,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_numpy,Who was the broadcaster for Super Bowl 50 in the United States?,CBS,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",CBS
ContextAware,dense_numpy,Who was the main performer at this year's halftime show?,Coldplay,"In late November 2015, reports surfaced stating that ""multiple acts"" would perform during the halftime show. On December 3, the league confirmed that the show would be headlined by the British rock gr",Coldplay
ContextAware,dense_numpy,Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M","manning (MVP of Super Bowls I and II) and manning (MVP of Super Bowl V) appeared via video, while martin (MVP of Super Bowl XLI and current Broncos quarterback) was shown in the locker room preparing for the game"
ContextAware,dense_numpy,Who broadcast the Super Bowl on TV?,CBS,"In the United States, the game was televised by CBS, as part of a cycle between the three main broadcast television partners of the NFL. The network's lead broadcast team of cbs and cbs called the con",CBS
ContextAware,dense_numpy,Who headlined the halftime show for Super Bowl 50?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Beyoncé and madonna
ContextAware,dense_numpy,Who lead the Super Bowl 50 halftime performance?,Coldplay,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commercial during the game. The Super Bowl 50 halftime show was headlined by the British rock group Coldpl",Coldplay
ContextAware,dense_numpy,Who was the NFL Commissioner in early 2012?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_numpy,Who is the Commissioner of the National Football League?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_numpy,Who was the commissioner of the NFL in 2012? ,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_numpy,Who if the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_numpy,Who is the commissioner of the NFL?,Roger Goodell,"In early 2012, NFL Commissioner madden stated that the league planned to make the 50th Super Bowl ""spectacular"" and that it would be ""an important game for us as a league"".",madden
ContextAware,dense_numpy,What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
ContextAware,dense_numpy,What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",Mercedes-Benz Superdome
ContextAware,dense_numpy,What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Sun Life Stadium
ContextAware,dense_numpy,"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",New Orleans
ContextAware,dense_numpy,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's men's Stadium.",Sun Life Stadium
ContextAware,dense_numpy,What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Stanford Stadium
ContextAware,dense_numpy,What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,Levi's Stadium
ContextAware,dense_numpy,Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,"The league announced on October 16, 2012, that the two finalists were Sun Life Stadium and Levi's Stadium. The South Florida/Miami area has previously hosted the event 10 times (tied for most with New",Florida legislature
ContextAware,dense_numpy,Who voted on the venue for Super Bowl 50?,NFL owners,Super Bowl 50 was an American football game to determine the champion of the National Football League (NFL) for the 2015 season. The American Football Conference (AFC) champion Denver Broncos defeated,"the league emphasized the ""golden anniversary"" with various gold-themed initiatives, as well as temporarily suspending the tradition of naming each Super Bowl game with arab numerals (under which the game would have been known as ""Super Bowl L""), so that the logo could prominently feature the Arabic numerals 50"
ContextAware,dense_numpy,Where did the spring meetings of the NFL owners take place?,Boston,"The game's media day, which was typically held on the Tuesday afternoon prior to the game, was moved to the Monday evening and re-branded as Super Bowl Opening Night. The event was held on February 1,",SAP Center in San Jose
ContextAware,dense_numpy,How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",$1.2 billion
ContextAware,dense_numpy,Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Boston
ContextAware,dense_numpy,Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",rodgers
ContextAware,dense_numpy,Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",rivera
ContextAware,dense_numpy,Who had the best record in the NFC?,Carolina Panthers,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",The Panthers
ContextAware,dense_numpy,Who started at tight end for the Panthers?,Greg Olsen,"Despite waiving longtime running back manning and losing top wide receiver williams to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming t",Williams
ContextAware,dense_numpy,Who is the quarterback for the Carolina Panthers?,Cam Newton,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",manning
ContextAware,dense_numpy,Who registered the most sacks on the team this season?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",Allen
ContextAware,dense_numpy,Who led the Panthers in sacks?,Kawann Short,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",Allen
ContextAware,dense_numpy,Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",johnson
ContextAware,dense_numpy,Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,"On Carolina's next possession fullback newton lost a fumble while being tackled by safety newton, which linebacker newton recovered on the Broncos 40-yard line. However, the Panthers soon took the bal",safety newton
ContextAware,dense_numpy,Who is the head coach of the Broncos?,Gary Kubiak,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",Rivera
ContextAware,dense_numpy,Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",anderson
ContextAware,dense_numpy,Who did Peyton Manning play for as a rookie?,Indianapolis Colts,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",Indianapolis Colts
ContextAware,dense_numpy,Who did the Broncos play in the last week of the regular season?,San Diego Chargers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
ContextAware,dense_numpy,Who is Denver's defensive coordinator?,Wade Phillips,Denver took the opening kickoff and started out strong with johnson completing an 18-yard pass to tight end Owen Daniels and a 22-yard throw to receiver manning. A pair of carries by manning moved the,Bill Belichick
ContextAware,dense_numpy,"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",Rivera
ContextAware,dense_numpy,"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",manning
ContextAware,dense_numpy,Who was the quarterback for the Broncos 2015 season?,Peyton Manning,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",anderson
ContextAware,dense_numpy,Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",Rivera
ContextAware,dense_numpy,Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ",manning
ContextAware,dense_numpy,Who registered the most receptions on the Broncos?,Demaryius Thomas,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends bryant and manning each had 5½ sacks. Pro",jackson
ContextAware,dense_numpy,Who had the most rushing yards on the Broncos?,C. J. Anderson,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who had the most receptions out of all players for the year?,Demaryius Thomas,"The Panthers offense, which led the NFL in scoring (500 points), was loaded with talent, boasting six Pro Bowl selections. Pro Bowl quarterback manning had one of his best seasons, throwing for 3,837 ",rookie johnson
ContextAware,dense_numpy,Who led the Broncos with 105 receptions?,Demaryius Thomas,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,"Following their loss in the divisional round of the previous season's playoffs, the Denver Broncos underwent numerous coaching changes, including a mutual parting with head coach manning (who had won ","anderson was injured, however, leading to anderson's return during the Week 17 regular season finale, where the Broncos were losing 13–7 against the 4–11 San Diego Chargers, resulting in him re-claiming the starting quarterback position for the playoffs by leading the team to a key 27–20 win that enabled the team to clinch the number one overall AFC seed"
ContextAware,dense_numpy,Who was first on the team in total tackles?,Brandon Marshall,"The Panthers defense gave up just 308 points, ranking sixth in the league, while also leading the NFL in interceptions with 24 and boasting four Pro Bowl selections. Pro Bowl defensive tackle allen le",davis
ContextAware,dense_numpy,Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who did Carolina beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
ContextAware,dense_numpy,Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Arizona Cardinals
ContextAware,dense_numpy,Who did the Panthers beat in the divisional round?,Seattle Seahawks,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
ContextAware,dense_numpy,Who did the Panthers play in their division championship game?,Arizona Cardinals,"The Panthers beat the Seattle Seahawks in the divisional round, running up a 31–0 halftime lead and then holding off a furious second half comeback attempt to win 31–24, avenging their elimination fro",Seattle Seahawks
ContextAware,dense_numpy,Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
ContextAware,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",The Broncos
ContextAware,dense_numpy,Who won Super Bowl XLIX?,New England Patriots,"The Panthers finished the regular season with a 15–1 record, and quarterback rodgers was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49–15 in the NFC Championship Gam",The Broncos
ContextAware,dense_numpy,"During the Bronco's playoff games, who did not throw at all?",Manning,"The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which th",Newton
ContextAware,dense_numpy,Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
ContextAware,dense_numpy,Who did the Broncos defeat in the AFC Championship game?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
ContextAware,dense_numpy,Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",Pittsburgh Steelers
ContextAware,dense_numpy,Who did the Broncos beat tp become the AFC champions?,New England Patriots,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New Engl",New England Patriots
ContextAware,dense_numpy,Who suffered a broken arm in the NFC Championship Game?,Thomas Davis,"Carolina suffered a major setback when manning, an 11-year veteran who had already overcome three ACL tears in his career, went down with a broken arm in the NFC Championship Game. Despite this, he in",manning
ContextAware,dense_numpy,Who previously held the record for being the oldest quarterback to play in a Super Bowl?,John Elway,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,manning
ContextAware,dense_numpy,Who did John Elway play for in Super Bowl XXXIII?,Broncos,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",Broncos
ContextAware,dense_numpy,Who is the General Manager for the Broncos?,John Elway,"With rodgers having been a linebacker with the Chicago Bears in Super Bowl XX, and rivera replacing rivera at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super ",Rivera
ContextAware,dense_numpy,Who has the record of being the oldest quarter back in any Super Bowl game?,Peyton Manning,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,manning
ContextAware,dense_numpy,Who is the oldest quarterback to play in a Super Bowl?,Peyton Manning,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,owens
ContextAware,dense_numpy,"Prior to Manning, who was the oldest quarterback to play in a Super Bowl?",John Elway,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,owens
ContextAware,dense_numpy,Who was the first quarterback to take two teams to more than one Super Bowl?,Peyton Manning,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,owens
ContextAware,dense_numpy,What is the name of the quarterback who was 38 in Super Bowl XXXIII?,John Elway,owens became the first quarterback ever to lead two different teams to multiple Super Bowls. He is also the oldest quarterback ever to play in a Super Bowl at age 39. The past record was held by manni,manning
ContextAware,dense_numpy,Who was the #2 pick in the 2011 NFL Draft?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. newton was the #1 selection of the 1998 NFL draft, while Newton was picked first in 201",Newton
ContextAware,dense_numpy,Who was considered to be the first choice in the NFL draft of 1998?,Manning,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. newton was the #1 selection of the 1998 NFL draft, while Newton was picked first in 201",newton
ContextAware,dense_numpy,"In 2011, who was the first player to be chosen in the NFL draft?",Newton,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. newton was the #1 selection of the 1998 NFL draft, while Newton was picked first in 201",Newton
ContextAware,dense_numpy,Who was the number two draft pick for 2011?,Von Miller,"This was the first Super Bowl to feature a quarterback on both teams who was the #1 pick in their draft classes. newton was the #1 selection of the 1998 NFL draft, while Newton was picked first in 201",Newton
ContextAware,dense_numpy,Who was replaced by Kubiak in Super Bowl XXIV?,Elway,"In honor of the 50th Super Bowl, the pregame ceremony featured the on-field introduction of 39 of the 43 previous Super Bowl Most Valuable Players. manning (MVP of Super Bowls I and II) and manning (M",martin
ContextAware,dense_numpy,Who did Kubiak take the place of after Super Bowl XXIV?,Elway,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",Levi's Stadium
ContextAware,dense_numpy,Who was the Panthers head coach for the 2015 season?,Rivera,"Despite waiving longtime running back manning and losing top wide receiver williams to a torn ACL in the preseason, the Carolina Panthers had their best regular season in franchise history, becoming t",Bill Belichick
ContextAware,dense_numpy,Who slipped on the Levi's Stadium turf in week 6 of the 2015 NFL season?,Justin Tucker,"Concerns were raised over whether men's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issu",Baltimore Ravens kicker ##s
ContextAware,dense_numpy,What is the name of the turf used in Levi's Stadium for the Super Bowl?,Bermuda 419,"Concerns were raised over whether men's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issu",Bermuda 419
ContextAware,dense_numpy,Who is the field director of the NFL?,Ed Mangan,"Concerns were raised over whether men's Stadium's field was of a high enough quality to host a Super Bowl; during the inaugural season, the field had to be re-sodded multiple times due to various issu",brady
ContextAware,dense_numpy,Who was designated as the home team in the Super Bowl?,Broncos,"On May 21, 2013, NFL owners at their spring meetings in Boston voted and awarded the game to Levi's Stadium. The $1.2 billion stadium opened in 2014. It is the first Super Bowl held in the San Francis",NFL
ContextAware,dense_numpy,Who is the only other AFC Champion team to wear road jerseys in a Super Bowl?,Pittsburgh Steelers,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. denver stated, ""We've had Super Bowl succe",Pittsburgh Steelers
ContextAware,dense_numpy,What was th elast Super Bowl where the Broncos wore white uniforms?,Super Bowl XXXIII,"As the designated home team in the annual rotation between AFC and NFC teams, the Broncos elected to wear their road white jerseys with matching white pants. denver stated, ""We've had Super Bowl succe",Super Bowl XXXIII
